Código IBGE,Município,UF,População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Cobertura Vacinal (Poliomielite),Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Áreas Verdes Urbanas,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua
2803708,Macambira (SE),SE,7024,12840.0634253986,60.0132981776482,70.567578093354,59.9697203047374,73.7654797886435,60.2760485702453,66.1438835294532,51.4110018148724,55.5743583169677,91.619621749409,27.80539935995,3.42134347577052,52.6174561420518,45.3668255232989,82.96,51.3725,75.3571232829116,94.0449184041627,73.0151150762495,98.8738782404907,95.21,8.57,90.48,90.16555,68.66,2.28858498464974,378.796374981661,0.42531454259601,2.92483182217023,49.92,29.902446027567,0.273145026178011,1.49959168324071,0
2803807,Malhada dos Bois (SE),SE,3666,14496.7670485543,59.8556216698657,77.7732201607282,53.8003559246943,76.631798669861,71.8831281521718,60.61451607421,37.3832544937326,49.8075650766346,89.7429018555779,13.240231990232,2.39900319031169,88.914841899341,3.66241445970201,97.31875,45.65,94.5231761296604,96.0590114740737,73.2685611729734,99.3809316842821,100,9.93,52.85,92.8623583333334,68.31,3.34592552617377,500.430494740059,0,0,53.43,45.5812178490296,0.280417943107221,0,0
2803906,Malhador (SE),SE,11728,14877.4293485675,56.0419701023486,68.2600478606536,56.9872665140971,76.2938859649746,64.091295491448,60.520362165391,47.1781748003325,58.9735567625923,92.7950445625557,19.8754021870151,2.93033103220795,76.6055812714878,1.16480668223276,90.91875,51.76125,91.1421465874709,94.0389261164528,76.1662426208235,98.2163921703879,99.03,1.18,64.04,94.9758305555556,71.87,3.40773555972057,427.957211072935,1.97285330765321,0.867077083152692,50.57,16.8435371010747,0.294875166444741,0.567357334431631,0.554016620498616
2804003,Maruim (SE),SE,15975,28274.6430172144,58.4760245466832,67.3570123992518,60.1605168869732,71.4774435778624,75.0603186818213,62.2021378195647,51.0369310622492,65.145649292988,81.8394109396915,17.1973044490751,3.63207857281276,85.4394049961978,96.7927977884162,74.50375,63.08625,74.5655344253839,94.7567725544124,84.3674083446969,97.3662747881944,100,4.69,65.72,95.0768277777778,71.85,3.08908045977012,441.937773906341,6.49366447560618,0.636172784528278,44.31,11.2747091761739,0.29256186491333,0.882017713595012,5.84674730292331
2804102,Moita Bonita (SE),SE,11288,18424.4521970234,63.375277829737,70.3146659308179,63.5763714449126,77.2510293839799,54.3672399558841,60.6512469798545,60.3945704715673,61.5746943444562,98.5826771653543,21.8562354921074,4.22396960008252,53.0594029794386,48.7964904136782,64.1775,55.31875,85.5901802138087,98.0176335519939,90.8070714122876,99.7946096848726,99.86,0.38,65.67,94.3892944444444,72.53,2.42072962836686,360.968572591296,1.5807022230372,0,47.7,11.4643477242141,0.26647508445946,4.12841593393665,1.62919346549253
2804201,Monte Alegre de Sergipe (SE),SE,14732,14970.9039437958,58.502068496688,74.1346467237664,57.7277794383725,77.8045685160111,65.9204563092165,56.1118157632351,57.9317671324609,52.6005795566153,97.0026676990693,18.023897572868,3.06874581243186,64.9119320534754,66.0327432014808,85.57125,66.46375,63.8478751867044,95.1339964591262,73.3967863720136,97.9215878100157,75.69,4.26,68,91.8977583333333,68.54,2.02356557377049,399.352896949464,2.09794555295715,2.79017857142857,55.49,31.5407400824062,0.30918369638446,1.16719122488839,1.61772717833853
2804300,Muribeca (SE),SE,8033,12120.7043445786,60.6402757763709,76.892108744871,57.6734794497387,71.1753738646453,82.888224595257,62.8706854572813,45.6098743087895,55.6029964426916,84.0515873015873,32.1820035539728,3.12007838243503,81.5466053199005,90.3772980319828,97.1575,45.9375,96.6603823178163,91.6947139622914,88.2009473947285,97.2096224249208,99.54,5.43,77.57,87.6163291666667,71.24,3.30097087378641,381.032133273023,0.4986240513377,0,52.22,15.5968786998097,0.277144465290807,1.42440113525952,0
2804409,Neópolis (SE),SE,16558,20134.1980794782,54.4181507668035,64.3930595186592,58.7529659635674,69.7779441849863,60.7619133141266,53.4834658907613,50.8975240974456,59.2259672887344,73.2416609783206,20.4477966674283,3.95370621425618,70.4746100669582,18.509771342501,76.625,48.6725,66.2281359545784,90.6585112526174,83.8730825977763,89.3140335337117,80.18,0.42,54.01,93.4757888888889,67.13,2.8114396509937,431.616035047662,2.55568893832185,1.21758188238159,48.67,18.1851673946417,0.300093384223919,1.02969406489711,2.23137327170116
2804458,Nossa Senhora Aparecida (SE),SE,9496,11657.7790648694,61.0325541902183,77.7789552840907,57.5547170818833,76.6386477986507,75.2787935395866,52.442905666882,61.7822019334556,51.4919734917296,90.3749028749029,18.9858763241816,3.6622832931646,84.5440506972319,50.1942205184978,95.66875,56.20875,65.8837185211966,93.4381634869908,82.4170269058867,98.851661146215,74.71,5.52,48.07,92.9539958333333,71.45,2.56462446570323,300.814164858029,0.490643293250897,1.08318890814558,58.61,19.9114587675699,0.279977695167286,2.48802407279029,0
2804508,Nossa Senhora da Glória (SE),SE,43255,18415.5072708357,58.6842841593696,74.0506895095605,60.1302906759863,77.3666818359568,74.878100944468,62.581687185493,55.8368631010328,59.3006510401894,88.5989338773985,16.7653118220843,3.37304964845353,90.3945734171227,33.2157140245676,97.375,57.85875,68.107577510447,96.9945604507838,81.5246698143377,99.4466565707496,81.91,9.44,82.38,93.7526416666667,70.02,2.01087425563131,367.028907574402,2.89239639917954,0,44.82,32.800526763837,0.287943234012484,0.733445127663706,2.35797418974085
