ps,mun,per,prob_mean,ppt_out_mean,altitude_mean,ppt_ago_mean,Expectativa de Vida_mean,Necessidades Humanas Básicas_mean,tmed_out_mean,ppt_jun_mean,ppt_set_mean,tmed_set_mean,Famílias em Situação de Rua_mean
32,320405,2013-2025,0.74776834,156.57999999999998,80.75,62.09000000000002,73.71000000000001,66.16033390575208,23.889999999999993,65.55999999999997,83.03999999999999,22.589999999999996,14.350934256293803
32,320470,2013-2025,0.7394868,146.70000000000002,176.73,46.87,75.08000000000001,73.04131921988667,23.069999999999997,32.94,69.28999999999999,21.740000000000002,12.5981757928692
32,320305,2013-2025,0.72851384,147.72,49.88,56.77999999999999,73.59000000000002,61.94860989661459,23.57999999999999,43.7,82.22000000000001,22.25,22.3466773913651
32,320460,2013-2025,0.7264544,140.02,605.87,49.72000000000001,75.03999999999999,71.78881299846697,20.12,36.07,72.26,18.72,62.55473488380689
32,320501,2013-2025,0.7174946,145.84999999999997,78.52,54.63999999999999,73.10000000000001,63.89176224089601,23.399999999999995,38.24,78.20000000000002,22.069999999999997,5.42302975918311
32,320390,2013-2025,0.7135029,149.13999999999993,180.55999999999997,46.25,75.48,72.75301805488081,23.21,35.980000000000004,68.49,21.9,12.7636403830235
32,320100,2013-2025,0.69725525,152.73,132.53,50.62,73.95000000000002,67.7013743759404,23.529999999999998,43.7,73.39999999999999,22.220000000000002,14.9848621943641
32,320430,2013-2025,0.69520605,106.99,39.38,30.209999999999994,73.5,68.68754343233299,22.569999999999997,34.290000000000006,64.90999999999998,21.21,10.444689077894
32,320250,2013-2025,0.68969727,140.59999999999997,272.42,55.019999999999996,75.08000000000001,84.35157216124841,21.92000000000001,42.22000000000001,76.11,20.550000000000004,30.355946996798703
32,320070,2013-2025,0.6866035,112.05999999999997,190.38000000000005,36.44,75.45000000000002,73.08482869238267,21.910000000000004,26.69,64.37,20.54,2.3864532852473803
17,172100,2013-2025,0.90611184,179.30999999999997,409.90999999999997,7.579999999999999,74.61,76.8351087944866,27.44,7.0,57.41999999999999,26.899999999999995,22.075594856037903
17,170950,2013-2025,0.86057085,176.07999999999998,284.27,7.0,75.60000000000001,73.5179776346704,27.850000000000005,4.950000000000001,49.669999999999995,27.19,6.95267499437925
17,170210,2013-2025,0.8591557,166.36999999999995,239.27,24.610000000000007,74.23,72.96224343390169,28.589999999999993,24.529999999999998,81.48,28.290000000000003,13.395972343066402
17,171610,2013-2025,0.8204727,188.28000000000003,333.33,7.730000000000002,74.88,77.082837910924,27.899999999999995,7.129999999999999,59.70000000000002,27.360000000000007,6.796471067547999
17,171820,2013-2025,0.811041,180.55,302.54,6.430000000000001,74.55999999999997,71.8510372313716,27.94,6.799999999999999,55.62,27.37,5.241124473088478
