cod6,prob,ppt_out,altitude,ppt_ago,Expectativa de Vida,Necessidades Humanas Básicas,tmed_out,ppt_jun,ppt_set,tmed_set,Famílias em Situação de Rua,tmed_nov,Domicílios com Coleta de Resíduos Adequada,Índice de Progresso Social,População 2022,Abastecimento de Água via Rede de Distribuição,Áreas Verdes Urbanas,Densidade de Telefonia Móvel,Mortalidade Infantil até 5 Anos,Densidade de Internet Banda Larga Fixa,tmed_ago,Índice de Abastecimento de Água,Esgotamento Sanitário Adequado,Nutrição e Cuidados Médicos Básicos,ppt_abr,Acesso à Informação e Comunicação,Focos de Calor,Água e Saneamento,tmed,PIB per capita 2021,Código IBGE,Mortalidade entre 15 e 50 anos,Fundamentos do Bem-estar,ppt_dez,tmed_jul,Cobertura Vacinal (Poliomielite),Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Índice de Perdas de Água na Distribuição,ppt_fev,ppt_jan,Supressão da Vegetação Primária e Secundária,tmed_jun,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Qualidade de Internet Móvel,tmed_mar,Cobertura de Internet Móvel (4G/5G),ppt_nov,tmed_fev,tmed_jan,clu
110029,0.59565055,237.23,341.63,33.36,73.73,62.3294100869002,26.94,39.440000000000005,162.57,25.81,0.0,26.82,57.0701749673563,55.0362648725155,7877.0,35.8867996215472,1.02400556245669,57.230000000000004,11.5781098657811,6.319999999999999,24.740000000000002,43.885,4.31010081778098,71.1997071627998,178.14,52.6824824714431,0.0,38.6022736565696,25.240000000000002,27309.249562015997,1100296.0,2.59447264523407,57.7559710648086,264.8,22.91,86.8253968253968,0.288149342891278,54.9419127983001,92.7382688375137,35.32375,284.9,377.02000000000004,60.4935631063696,22.949999999999996,56.25,94.6440555555556,25.73,64.67,298.99,25.9,25.740000000000002,1
110030,0.8031473,258.4,409.37,42.11,73.49,72.6294263939633,26.98,41.5,193.93,25.98,10.8437703151133,26.720000000000002,94.2794249656015,59.41834705037469,108528.0,95.9821119117788,3.46797422377702,89.70000000000002,13.034741137990299,20.29,24.9,98.0175,5.85476959685152,76.2104088580204,178.44,70.4579980136456,59.061691293096196,77.1166334391138,25.17,39121.8472265222,1100304.0,2.54510068118871,61.52232358771089,299.52,22.96,95.5966193898196,0.289992913186535,98.5106060435734,87.746287766334,33.4025,295.68,365.69999999999993,17.4393924748257,23.009999999999998,44.88,93.5982472222222,25.4,95.11,344.44999999999993,25.62,25.490000000000002,1
110032,0.5755304,239.37,236.82,55.66,71.87,61.1185725893608,27.009999999999998,44.769999999999996,159.90000000000003,25.779999999999998,2.46821336813939,27.06,56.2982346788449,54.3096866468535,22267.0,5.76169541739258,1.34302387425878,72.4,15.8223999901464,9.93,24.71,18.5525,1.56842828552341,73.0320207682148,188.45,53.4785876998685,76.7275248440028,19.4248575778422,25.470000000000002,40954.9533165671,1100320.0,2.14279592011657,58.6262868793951,268.84,23.050000000000004,84.7315422116886,0.291882747068677,84.91869877041118,92.7056238253258,36.9875,291.81,373.84000000000003,25.0856266038025,23.050000000000004,55.0,96.0308529411765,26.259999999999998,48.26,288.17,26.33,26.16,1
110033,0.44830057,242.72,205.23999999999998,129.14,71.15,55.00512277975,26.73,54.86,154.45,25.470000000000002,1.50090638198829,26.84,48.0146319526128,47.7257976991403,28496.0,5.97692966638118,3.91258777178039,49.08,11.936457182348,10.120000000000001,24.550000000000004,10.28,25.7837590182916,74.3504662339636,209.88,47.364856868531305,431.928941990253,15.753788590037901,25.39,26253.1097382089,1100338.0,2.54683840749415,47.6209940975229,307.14,23.13,73.3584365760528,0.326207186973611,85.2455046913388,87.2726306645052,64.57875,308.35,353.37,45.7487191770769,23.199999999999996,55.14999999999999,96.844525,26.240000000000002,41.42,277.62,26.25,26.02,1
110034,0.50598776,230.73999999999998,248.65000000000003,40.78,70.75,73.7730415488629,27.13,40.8,150.6,25.98,0.0,27.1,54.0299261499318,58.8206181466644,13837.0,54.69378911025,0.888016459435086,66.03,7.076214261842529,6.02,24.92,56.832499999999996,82.8149525698831,75.9344541358538,191.72,51.934147429811205,102.919874971411,65.8060551514622,25.550000000000004,25670.4621232926,1100346.0,2.49576336465876,55.0642367214764,257.61,23.25,83.14661577340829,0.283363777893098,97.6512856541024,93.8745444859203,11.96125,293.6,381.79,46.455993186486594,23.259999999999998,55.47,95.7139117647059,26.19,52.83,274.19,26.27,26.12,1
110037,0.50696445,241.84,255.48999999999998,40.36,71.64,63.28047590124571,27.07,43.39999999999999,169.47,25.83,2.30273885964252,27.1,50.8140941791442,52.887096302285,12263.0,17.6955512054242,1.66547630899822,46.61,10.5420723304862,2.6000000000000005,24.64,25.4133333333333,1.660068430115,73.6707664860632,171.72,40.0826764611673,13.9384963847025,30.6818487051897,25.43,39729.4956862106,1100379.0,2.28551935869009,52.0626161058076,269.62,22.86,91.50262178281228,0.279878702397743,95.6209740355907,94.9296535586734,9.60666666666667,277.3,367.57,35.2774510140691,22.82,58.18,73.622047826087,26.23,47.66,311.19,26.35,26.23,1
110040,0.5217825,230.92000000000002,134.69,96.69,73.22,58.0820059978522,27.38,46.57,137.46,26.29,7.81301290414931,27.38,52.4148304922242,51.6394598510534,17463.0,4.72422032906457,0.0796695009445058,66.27,15.8559059059742,12.22,25.34,7.30875,0.898280440178824,77.2188872864846,224.57,53.0760839675207,30.0245098039216,14.4706823793179,25.98,29438.6208154384,1100403.0,2.0671834625323,55.4450590142742,318.13,23.94,88.56748634101811,0.299246799795187,83.0091799248067,95.8246764384872,42.31375,314.57,356.69,79.47623034984738,23.9,52.04,95.2818527777778,26.65,49.730000000000004,253.29,26.61,26.490000000000002,1
110045,0.55203605,237.8,170.09999999999997,123.22,70.08,58.1796586630136,27.08,50.019999999999996,144.98,25.91,1.61987188523516,27.13,69.1705222278308,53.2165089818077,30729.0,1.16967603612004,1.23934202187126,89.94,13.291291521844402,20.44,24.970000000000002,11.5685714285714,15.267534391302402,77.1074579279196,216.22,64.6849297768416,22.5064304086882,19.6552481047639,25.699999999999996,31683.6808747437,1100452.0,3.01038517155252,56.0709206053831,313.33,23.550000000000004,95.2015892825306,0.306764555108019,96.7497818497711,96.212057104024,26.6528571428571,310.88,358.86,87.3041588625032,23.56,50.42,92.1614527777778,26.46,71.3,266.19,26.44,26.27,1
110050,0.45410866,231.44,252.89,33.02,72.92,64.9210165345893,27.18,38.0,153.77,26.029999999999998,0.0,27.14,46.1677008723378,55.4996165763602,8056.0,26.0743578284045,0.79337366528914,39.54,8.24175824175823,11.32,24.93,20.81875,11.6654080350439,76.3648980348905,185.17000000000002,41.40707386985191,2.6085822355549797,32.9265542896638,25.56,28946.3709781529,1100502.0,1.7511276200583699,56.2595543665532,257.24,23.21,97.7551020408163,0.306182680901542,87.1841839345418,85.90415675234979,14.11125,289.79,384.24,69.0064066329895,23.19,53.07,93.1091416666666,26.21,26.63,283.14,26.300000000000004,26.17,1
110060,0.5825778,240.46,191.55,65.87,73.08,67.2015294858479,27.29,47.01,147.95,26.18,0.0,27.25,56.8561404966525,56.3420008865855,4345.0,12.849316776638899,1.4312467311129,57.82,3.90625,25.42,25.19,13.07,16.0002354049676,78.1907361596937,211.86,49.028314562727004,93.9759036144578,22.0030801197136,25.800000000000004,63831.5229919448,1100601.0,2.02507232401157,52.6035527397387,292.36,23.66,83.3413145539906,0.291804878048781,89.1286394497242,96.53916444473728,39.471250000000005,308.49,372.34000000000003,65.1374320481685,23.65,51.95,79.0462666666667,26.42,39.88,274.49,26.44,26.300000000000004,1
