state,cod6,cluster,prob,rank,risk_cat,variable,correlation
MG,316250,0,0.82629216,50,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,311730,0,0.8238701,51,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,315120,0,0.82358676,52,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,315670,0,0.82039094,53,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,315210,0,0.8197318,54,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,314280,0,0.81813323,55,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,314800,0,0.8163605,56,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,314110,0,0.8161617,57,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,311820,0,0.81510556,58,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,311180,0,0.81478417,59,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,312090,0,0.81365913,60,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,311340,0,0.81283104,61,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,313720,0,0.8123256,62,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,316960,0,0.8107404,63,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,311260,0,0.8098503,64,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,314390,0,0.8074408,65,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,313190,0,0.8057807,66,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,315070,0,0.80577195,67,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,311420,0,0.8047289,68,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,311830,0,0.80462515,69,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,312700,0,0.80370516,70,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,315460,0,0.8035161,71,Very High,Índice de Abastecimento de Água,0.5062345779293208
MG,310620,0,0.98116934,1,Very High,tmed_nov,0.49885344275686505
